title,author,publisher,published_date,rank,rank_last_week,rank_change,weeks_on_list,total_appearances,category,reason,avg_rank,median_rank,max_weeks_on_list,appearances,total_rank_change,best_rank
AN INSIDE JOB,Daniel Silva,Harper,2025-08-24,8.0,13.0,-5.0,4.0,4.0,Fast Movers,Rank improved by 5 vs last week (from #13 to #8).,,,,,,
BROKEN COUNTRY,Clare Leslie Hall,Simon & Schuster,2025-10-05,11.0,13.0,-2.0,26.0,13.0,Fast Movers,Rank improved by 2 vs last week (from #13 to #11).,,,,,,
THE WIDOW,John Grisham,Doubleday,2026-01-25,3.0,4.0,-1.0,12.0,11.0,Fast Movers,Rank improved by 1 vs last week (from #4 to #3).,,,,,,
QUICKSILVER,Callie Hart,Forever,2026-01-18,9.0,10.0,-1.0,11.0,10.0,Fast Movers,Rank improved by 1 vs last week (from #10 to #9).,,,,,,
DUNGEON CRAWLER CARL,Matt Dinniman,Ace,2026-01-25,10.0,11.0,-1.0,11.0,10.0,Fast Movers,Rank improved by 1 vs last week (from #11 to #10).,,,,,,
THE WIDOW,John Grisham,Doubleday,,,,,,11.0,Consistent Performers,Appeared on the bestseller list for 11 weeks with a median rank of #2,2.090909090909091,2.0,12.0,,,
THE SECRET OF SECRETS,Dan Brown,Doubleday,,,,,,17.0,Consistent Performers,Appeared on the bestseller list for 17 weeks with a median rank of #3,3.0588235294117645,3.0,18.0,,,
KATABASIS,R.F. Kuang,Harper Voyager,,,,,,6.0,Consistent Performers,Appeared on the bestseller list for 6 weeks with a median rank of #3,6.0,3.5,6.0,,,
ATMOSPHERE,Taylor Jenkins Reid,Ballantine,,,,,,15.0,Consistent Performers,Appeared on the bestseller list for 15 weeks with a median rank of #4,5.333333333333333,4.0,18.0,,,
NOT QUITE DEAD YET,Holly Jackson,Bantam,,,,,,5.0,Consistent Performers,Appeared on the bestseller list for 5 weeks with a median rank of #4,5.6,4.0,5.0,,,
ALCHEMISED,SenLinYu,Del Rey,,,,,,15.0,Consistent Performers,Appeared on the bestseller list for 15 weeks with a median rank of #5,4.4,5.0,16.0,,,
BRIMSTONE,Callie Hart,Forever,,,,,,7.0,Consistent Performers,Appeared on the bestseller list for 7 weeks with a median rank of #5,3.857142857142857,5.0,8.0,,,
THE CORRESPONDENT,Virginia Evans,Crown,,,,,,10.0,Consistent Performers,Appeared on the bestseller list for 10 weeks with a median rank of #6,6.8,6.5,11.0,,,
REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,,,,,,6.0,Consistent Performers,Appeared on the bestseller list for 6 weeks with a median rank of #7,7.0,7.0,6.0,,,
RETURN OF THE SPIDER,James Patterson,"Little, Brown",,,,,,6.0,Consistent Performers,Appeared on the bestseller list for 6 weeks with a median rank of #7,7.5,7.0,7.0,,,
THE CORRESPONDENT,Virginia Evans,Crown,,,,,,,Sustained Momentum,Improved by 11 positions overall across 9 weeks (best rank #1).,6.222222222222222,,,9.0,-11.0,1.0
MONA'S EYES,Thomas Schlesser,Europa,,,,,,,Sustained Momentum,Improved by 6 positions overall across 6 weeks (best rank #4).,7.666666666666667,,,6.0,-6.0,4.0
DUNGEON CRAWLER CARL,Matt Dinniman,Ace,,,,,,,Sustained Momentum,Improved by 4 positions overall across 9 weeks (best rank #8).,12.11111111111111,,,9.0,-4.0,8.0
THE KNIGHT AND THE MOTH,Rachel Gillig,Orbit,,,,,,,Sustained Momentum,Improved by 2 positions overall across 2 weeks (best rank #12).,12.5,,,2.0,-2.0,12.0
